num_l	meter	ces_3	ces_4	ces_5	ces_6	ces_7
319	11	3NA	4épC	5NA	6NA	7NA
320	10	3NA	4NA	5NA	6NA	7ma
321	10	3NA	4ma	5ma	6NA	7NA
322	11	3NA	4épC	5NA	6NA	7NA
323	10	3NA	4épV	5NA	6NA	7NA
324	9	3NA	4NA	5NA	6NA	7NA
325	11	3NA	4épC	5NA	6NA	7NA
326	10	3ly	4ma	5NA	6NA	7ma
327	11	3NA	4épC	5NA	6NA	7NA
328	11	3NA	4épC	5NA	6NA	7NA
329	11	3NA	4épC	5NA	6NA	7NA
330	10	3NA	4ma	5NA	6ma	7NA
331	10	3NA	4ma	5NA	6NA	7ma
332	11	3NA	4épC	5NA	6NA	7NA
333	10	3NA	4ma	5NA	6NA	7ma
334	10	3NA	4ma	5NA	6épV	7NA
335	11	3NA	4épC	5NA	6NA	7NA
336	10	3ma	4NA	5ma	6ma	7NA
337	10	3NA	4ej	5ly	6NA	7ma
338	10	3ej	4ly	5ma	6ma	7ma
339	11	3NA	4épC	5NA	6épC	7NA
340	10	3ma	4ma	5NA	6NA	7ma
341	10	3NA	4ma	5NA	6NA	7NA
342	11	3NA	4NA	5NA	6NA	7NA
343	11	3NA	4épC	5NA	6NA	7NA
344	11	3NA	4épC	5NA	6NA	7NA
345	10	3ma	4ma	5NA	6ej	7ly
346	10	3NA	4ma	5ma	6NA	7ma
347	11	3NA	4épC	5NA	6NA	7NA
348	11	3NA	4épC	5NA	6NA	7NA
349	10	3NA	4ma	5NA	6NA	7ma
350	10	3NA	4ma	5ma	6ma	7ma
351	11	3NA	4épC	5NA	6NA	7NA
352	10	3NA	4épV	5NA	6NA	7NA
353	11	3NA	4NA	5épC	6NA	7NA
354	10	3ma	4ma	5NA	6ma	7NA
355	10	3NA	4ma	5NA	6ma	7NA
356	13	3NA	4NA	5NA	6NA	7NA
357	10	3NA	4ma	5NA	6ma	7NA
358	11	3NA	4épC	5NA	6NA	7NA
359	10	3NA	4ma	5NA	6ma	7NA
360	9	3NA	4NA	5NA	6NA	7NA
361	10	3NA	4ma	5ej	6ly	7ma
362	11	3NA	4épC	5NA	6NA	7NA
363	10	3NA	4ma	5ma	6NA	7ma
364	11	3NA	4NA	5épC	6NA	7NA
365	9	3NA	4NA	5NA	6NA	7NA
366	10	3ma	4ma	5ma	6NA	7NA
367	11	3NA	4épC	5NA	6NA	7NA
368	10	3NA	4ma	5NA	6NA	7NA
369	10	3NA	4ma	5NA	6NA	7épV
370	10	3NA	4ma	5NA	6NA	7NA
371	11	3NA	4NA	5NA	6NA	7NA
372	10	3NA	4ma	5NA	6NA	7NA
373	11	3NA	4épC	5NA	6NA	7épC
374	10	3ma	4ma	5NA	6épV	7NA
375	10	3ma	4ma	5NA	6NA	7NA
376	11	3NA	4épC	5NA	6NA	7NA
377	10	3ma	4ma	5NA	6NA	7NA
378	10	3NA	4ma	5NA	6NA	7ma
379	11	3NA	4épC	5NA	6NA	7NA
380	10	3NA	4ma	5ma	6NA	7ma
381	10	3NA	4ma	5NA	6ej	7ly
382	11	3NA	4épC	5NA	6NA	7NA
383	11	3NA	4NA	5NA	6épC	7NA
384	10	3ma	4NA	5NA	6NA	7NA
385	10	3NA	4ma	5NA	6ma	7ma
386	10	3NA	4ma	5NA	6NA	7NA
387	11	3NA	4NA	5NA	6NA	7épC
388	11	3NA	4NA	5NA	6NA	7NA
389	12	3NA	4NA	5NA	6NA	7NA
390	11	3NA	4épC	5NA	6NA	7NA
391	10	3NA	4ma	5ma	6ma	7NA
392	10	3NA	4ma	5NA	6NA	7NA
393	10	3NA	4ma	5ma	6NA	7ma
394	10	3NA	4ma	5NA	6NA	7NA
395	11	3NA	4épC	5NA	6NA	7NA
396	10	3NA	4ma	5NA	6ma	7NA
397	11	3NA	4épC	5NA	6NA	7NA
398	11	3NA	4épC	5NA	6NA	7NA
399	10	3NA	4ma	5NA	6ej	7ly
400	10	3NA	4ma	5NA	6ej	7ly
401	10	3NA	4ma	5NA	6NA	7ej
402	10	3NA	4ma	5NA	6NA	7épV
403	10	3NA	4ma	5NA	6ej	7ly
404	10	3NA	4ma	5ma	6NA	7NA
405	9	3NA	4NA	5NA	6NA	7NA
406	10	3ma	4épV	5ma	6ma	7ma
407	10	3NA	4ma	5épV	6NA	7épV
408	11	3NA	4épC	5NA	6NA	7NA
409	11	3NA	4épC	5NA	6NA	7épC
410	10	3NA	4épV	5NA	6NA	7ma
411	10	3NA	4ma	5NA	6NA	7NA
412	10	3NA	4ma	5NA	6ma	7ma
413	10	3NA	4ma	5NA	6NA	7NA
414	9	3NA	4NA	5NA	6NA	7NA
415	11	3NA	4épC	5NA	6NA	7NA
416	11	3NA	4NA	5NA	6NA	7NA
417	10	3NA	4ma	5NA	6NA	7NA
418	10	3NA	4ma	5ma	6NA	7NA
419	11	3NA	4épC	5NA	6NA	7épC
420	11	3NA	4épC	5NA	6NA	7NA
421	10	3NA	4ma	5ma	6ej	7ly
422	10	3NA	4ma	5NA	6ma	7ma
423	10	3NA	4épV	5NA	6NA	7ma
424	10	3NA	4épV	5NA	6NA	7ma
425	10	3NA	4ma	5NA	6épV	7NA
426	10	3NA	4ma	5NA	6NA	7NA
427	10	3NA	4ma	5NA	6NA	7ma
428	10	3ma	4ma	5NA	6NA	7NA
429	11	3NA	4épC	5NA	6NA	7NA
430	11	3NA	4épC	5NA	6NA	7NA
431	11	3NA	4épC	5NA	6NA	7épC
432	10	3ma	4ma	5NA	6ma	7NA
433	11	3NA	4épC	5NA	6NA	7NA
434	11	3NA	4épC	5NA	6NA	7NA
435	11	3NA	4épC	5NA	6NA	7NA
436	11	3NA	4épC	5NA	6NA	7NA
437	11	3NA	4épC	5NA	6NA	7NA
438	11	3NA	4épC	5NA	6NA	7NA
439	11	3NA	4NA	5NA	6NA	7NA
440	10	3NA	4ma	5NA	6ej	7ly
441	11	3NA	4épC	5NA	6NA	7NA
442	10	3NA	4ma	5NA	6NA	7ma
443	10	3NA	4ma	5ma	6NA	7NA
444	11	3NA	4épC	5NA	6NA	7NA
445	10	3ly	4ej	5ly	6ma	7NA
446	11	3NA	4épC	5NA	6NA	7NA
447	10	3NA	4ma	5NA	6NA	7ej
448	10	3NA	4ma	5NA	6ma	7NA
449	11	3NA	4NA	5NA	6NA	7NA
450	10	3NA	4ma	5NA	6NA	7NA
451	11	3NA	4épC	5NA	6NA	7épC
452	11	3NA	4NA	5épC	6NA	7NA
453	11	3NA	4épC	5NA	6NA	7NA
454	10	3ma	4ma	5ma	6ma	7épV
455	10	3ma	4ma	5NA	6NA	7ma
456	10	3ly	4ma	5NA	6NA	7ma
457	11	3NA	4épC	5NA	6NA	7NA
458	12	3NA	4NA	5NA	6NA	7NA
459	11	3NA	4épC	5NA	6NA	7NA
460	10	3NA	4ma	5NA	6NA	7NA
461	10	3ej	4ly	5ma	6ma	7ej
462	11	3NA	4NA	5NA	6épC	7NA
463	11	3NA	4épC	5NA	6NA	7NA
464	11	3NA	4épC	5NA	6NA	7NA
465	10	3NA	4épV	5NA	6NA	7NA
466	10	3NA	4ma	5NA	6épV	7NA
467	10	3NA	4ma	5NA	6ma	7ma
468	10	3NA	4ma	5NA	6ma	7NA
469	11	3NA	4épC	5NA	6NA	7épC
470	11	3NA	4épC	5NA	6NA	7NA
471	10	3NA	4ma	5NA	6NA	7NA
472	10	3ly	4NA	5NA	6ma	7NA
473	10	3ma	4ma	5NA	6NA	7ej
474	11	3NA	4épC	5NA	6NA	7NA
475	11	3NA	4NA	5NA	6NA	7épC
476	11	3NA	4épC	5NA	6NA	7NA
477	11	3NA	4épC	5NA	6NA	7NA
478	10	3NA	4ma	5NA	6NA	7NA
479	9	3NA	4NA	5NA	6NA	7NA
480	10	3NA	4ma	5NA	6ma	7NA
481	11	3NA	4épC	5NA	6NA	7NA
482	10	3NA	4ma	5NA	6ma	7NA
483	11	3NA	4NA	5NA	6NA	7NA
484	11	3NA	4épC	5NA	6NA	7épC
485	11	3NA	4NA	5NA	6NA	7épC
486	12	3NA	4NA	5NA	6NA	7NA
487	11	3NA	4épC	5NA	6NA	7NA
488	11	3NA	4épC	5NA	6NA	7NA
489	10	3NA	4ma	5NA	6ma	7NA
490	10	3NA	4ma	5NA	6ma	7NA
491	11	3NA	4NA	5NA	6NA	7épC
492	11	3NA	4épC	5NA	6NA	7NA
493	11	3NA	4épC	5NA	6NA	7NA
494	10	3NA	4ma	5NA	6ma	7NA
495	10	3ma	4ma	5NA	6NA	7ma
496	11	3NA	4épC	5NA	6NA	7NA
497	10	3NA	4ma	5NA	6ma	7NA
498	11	3NA	4épC	5NA	6NA	7NA
499	10	3NA	4NA	5NA	6ma	7ma
500	10	3NA	4ma	5NA	6NA	7NA
501	11	3NA	4épC	5NA	6NA	7épC
502	11	3NA	4épC	5NA	6NA	7NA
503	11	3NA	4épC	5NA	6NA	7NA
504	10	3NA	4épV	5NA	6NA	7NA
505	11	3NA	4épC	5NA	6NA	7NA
506	11	3NA	4épC	5NA	6NA	7NA
507	10	3NA	4ma	5NA	6ma	7ma
508	11	3NA	4épC	5NA	6NA	7épC
509	10	3NA	4ma	5NA	6ma	7épV
510	11	3NA	4NA	5NA	6épC	7NA
511	11	3NA	4épC	5NA	6NA	7NA
512	11	3NA	4épC	5NA	6NA	7NA
513	9	3NA	4NA	5NA	6NA	7NA
514	11	3NA	4épC	5NA	6NA	7NA
515	11	3NA	4épC	5NA	6NA	7NA
516	11	3NA	4épC	5NA	6NA	7NA
517	10	3NA	4ma	5ma	6NA	7NA
518	11	3NA	4NA	5NA	6NA	7NA
519	11	3NA	4épC	5NA	6NA	7NA
520	11	3NA	4NA	5NA	6NA	7NA
521	10	3NA	4ma	5ej	6ly	7ma
522	10	3NA	4ma	5NA	6NA	7NA
523	10	3NA	4ej	5ly	6NA	7ma
524	11	3NA	4épC	5NA	6NA	7NA
525	11	3NA	4épC	5NA	6NA	7NA
526	10	3NA	4ma	5ej	6ly	7NA
527	10	3NA	4ma	5ej	6ly	7ma
528	10	3NA	4ej	5ly	6ma	7ma
529	10	3ma	4ma	5NA	6NA	7ma
530	10	3NA	4ma	5NA	6ma	7ma
531	11	3NA	4épC	5NA	6NA	7NA
532	10	3NA	4ma	5NA	6ej	7ly
533	10	3ma	4ma	5NA	6ma	7NA
534	10	3ma	4ma	5NA	6ej	7ly
535	11	3NA	4épC	5NA	6épC	7NA
536	10	3NA	4ma	5ma	6ej	7ly
537	10	3NA	4ma	5ma	6NA	7ma
538	10	3NA	4ma	5NA	6ej	7ly
539	10	3NA	4ma	5ma	6ma	7NA
540	11	3NA	4épC	5NA	6NA	7NA
541	11	3NA	4NA	5NA	6NA	7NA
542	11	3NA	4épC	5NA	6NA	7NA
543	11	3NA	4épC	5NA	6NA	7NA
544	10	3ma	4ma	5NA	6ej	7ly
545	11	3NA	4épC	5NA	6NA	7NA
546	11	3NA	4épC	5NA	6NA	7NA
547	10	3NA	4ma	5NA	6ma	7NA
548	8	3NA	4NA	5NA	6NA	7NA
549	10	3NA	4ma	5NA	6NA	7ma
550	10	3NA	4ma	5NA	6NA	7ma
551	10	3NA	4ma	5NA	6ma	7NA
552	11	3NA	4épC	5NA	6épC	7NA
553	10	3NA	4ma	5NA	6ma	7NA
554	10	3NA	4ej	5ly	6ma	7ma
555	10	3NA	4ma	5NA	6ma	7NA
556	11	3NA	4NA	5NA	6NA	7NA
557	11	3NA	4épC	5NA	6NA	7NA
558	11	3NA	4épC	5NA	6NA	7épC
559	10	3NA	4ma	5NA	6NA	7ma
560	10	3NA	4NA	5ma	6NA	7ej
561	11	3NA	4épC	5NA	6NA	7NA
562	10	3NA	4épV	5NA	6NA	7ej
563	11	3NA	4épC	5NA	6NA	7NA
564	10	3ej	4ly	5NA	6ej	7ly
565	12	3NA	4NA	5NA	6NA	7NA
